Designator,Value,Footprint,Populate,MPN,Manufacturer
C1,250uF,CP10MM,1,MF-CAP-10MM-220uF,MacroFab
D1,LED,EIA-STD,1,MF-LED-0603-GREEN,MacroFab
D2,LED,EIA-STD,1,MF-LED-0603-GREEN,MacroFab
D3,LED,EIA-STD,1,MF-LED-0603-GREEN,MacroFab
FUD1,FIDUCIAL,FIDUCIAL_40MIL,0,5-1567064-5,TE Connectivity / AMP
FUD2,FIDUCIAL,FIDUCIAL_40MIL,0,5-1567064-5,TE Connectivity / AMP
FUD3,FIDUCIAL,FIDUCIAL_40MIL,0,5-1567064-5,TE Connectivity / AMP
FUD4,FIDUCIAL,FIDUCIAL_40MIL,0,5-1567064-5,TE Connectivity / AMP
FUD5,FIDUCIAL,FIDUCIAL_40MIL,0,5-1567064-5,TE Connectivity / AMP
FUD6,FIDUCIAL,FIDUCIAL_40MIL,0,5-1567064-5,TE Connectivity / AMP
J1,SPI_SCREEN,SPI_SCREEN,1,1770,Adafruit Industries
J2,292303-1,TE_292303-1,1,292303-1,TE Connectivity
MGT1,MOUNTING_HOLE,MOUNTING_HOLE,0,2516672_WO_CORNER_MOUNTING_HOLES,Texas Instruments
MGT2,MOUNTING_HOLE,MOUNTING_HOLE,0,2516672_WO_CORNER_MOUNTING_HOLES,Texas Instruments
MGT3,MOUNTING_HOLE,MOUNTING_HOLE,0,2516672_WO_CORNER_MOUNTING_HOLES,Texas Instruments
MGT4,MOUNTING_HOLE,MOUNTING_HOLE,0,2516672_WO_CORNER_MOUNTING_HOLES,Texas Instruments
R1,POTENTIOMETER,POT-PO90S,1,MF-RES-TC33X-10K,MacroFab
R2,1k,R0603,1,MF-RES-0603-1K,MacroFab
R3,1k,R0603,1,MF-RES-0603-1K,MacroFab
R4,POTENTIOMETER,POT-PO90S,1,MF-RES-TC33X-10K,MacroFab
R5,0.1,R0603,1,ERJ-L03KF10CV,Panasonic
SW1,PUSH_BUTTON,BUTTON_12.5MM,1,TINKERKIT PUSHBUTTON,Arduino
SW2,PUSH_BUTTON,BUTTON_12.5MM,1,TINKERKIT PUSHBUTTON,Arduino
U1,POCKETBEAGLE,POCKETBEAGLE,1,POCKETBEAGLE,BeagleBoard
